X_cadv,Y_cadv,V_cadv,a_cadv,A_cadv,V_cadv_x,V_cadv_y,TH,X_left_front,Y_left_front,X_left,Y_left,X_left_behind,Y_left_behind,X_front,Y_front,X_behind,Y_behind,X_right_front,Y_right_front,X_right,Y_right,X_right_behind,Y_right_behind,V_x_left_front,V_y_left_front,V_x_left,V_y_left,V_x_left_behind,V_y_left_behind,V_x_front,V_y_front,V_x_behind,V_y_behind,V_x_right_front,V_y_right_front,V_x_right,V_y_right,V_x_right_behind,V_y_right_behind,V,K,Q,TOT
-1.767983906,35.3363853,-6.23,-0.47,3.07,1.63,-23.38,-1,9999,9999,9999,9999,3.469569742,6.998957529,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,3.469569742,6.998957529,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,18.44666667,0.325262017,6,7.22
-4.306836548,59.53529627,5.56,0,0,20,0,9999,8.676810458,-39.14335628,3.02903222,1.670519073,9999,9999,-0.172000953,-12.61728978,0.018438987,0.000324677,9999,9999,9999,9999,9999,9999,8.676810458,-39.14335628,3.02903222,1.670519073,9999,9999,-0.172000953,-12.61728978,0.018438987,0.000324677,9999,9999,9999,9999,9999,9999,18.00928571,0.77737675,14,5.468
4.87217778,35.29784948,-1.14,-0.49,3.13,0.08,-5.15,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,-2.545031658,-2.672252293,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,-2.545031658,-2.672252293,9999,9999,9999,9999,12.595,0.317586344,4,5.024
1.316962967,35.01997397,-6.12,-0.87,3.06,1.96,-23.85,-1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,-1.850088113,-35.0274663,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,-1.850088113,-35.0274663,9999,9999,9999,9999,233.6194367,0.004280466,1,6.835
6.054053214,54.35385943,5.56,0,0,20,0,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9.4425,0.847233254,8,5.498
2.184030734,62.98246374,5.56,0,0,20,0,9999,9999,9999,9999,9999,9999,9999,1.297525077,-42.40134117,-0.141234853,0.890700275,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1.297525077,-42.40134117,-0.141234853,0.890700275,9999,9999,9999,9999,9999,9999,17.95166667,0.334230805,6,5.827
4.285337953,35.05190045,-4.05,0.51,-2.97,-2.32,-13.27,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,-5.545316721,52.43339136,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,-5.545316721,52.43339136,10.44666667,0.287172942,3,5.482
0.682196742,35.42836087,-4.56,-0.56,-3.12,-0.4,-17.66,-1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,16.232,0.308033514,5,5.096
2.240282666,36.25312037,-2.61,-0.74,-3.13,-0.13,-14.51,9999,9999,9999,9999,9999,1.63271904,14.51616021,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1.63271904,14.51616021,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,6.46,0.309597523,2,5.057
-2.735757041,39.72792261,5.56,0,0,20,0,9999,4.5177571,-21.57870127,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,4.5177571,-21.57870127,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,14.72416667,0.8149867,12,5.03
